number	OUT	blast_taxonomy	blast_subject	blast_perc_identity	order	class	famlily	genus	Trophic.mode	Guild	Growth.form	Trait
184	Cluster_351	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Lecanoromycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
185	Cluster_303	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
186	Cluster_260	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Hygrophoraceae	Saprotroph-Symbiotroph	Ectomycorrhizal	Agaricoid	
187	Cluster_326	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Paraglomerales	Paraglomeraceae	Symbiotroph	Arbuscular Mycorrhizal		
188	Cluster_268	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
189	Cluster_262	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
190	Cluster_259	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	N.R	N.R	N.R	
191	Cluster_270	Eukaryota	Fungi	Zygomycota	Kickxellomycotina	undefined	Kickxellales	Kickxellaceae	N.R	N.R	N.R	
192	Cluster_257	Eukaryota	Fungi	Ascomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
193	Cluster_256	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	N.R	N.R	N.R	
194	Cluster_366	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Saprotroph-Symbiotroph	Endophyte-Saprotroph	Microfungus	
195	Cluster_272	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
196	Cluster_264	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mucorales	Cunninghamellaceae	N.R	N.R	N.R	
197	Cluster_300	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Multi-affiliation	N.R	N.R	N.R	
198	Cluster_267	Eukaryota	Fungi	Basidiomycota	undefined	Tremellomycetes	Tremellales	undefined	N.R	N.R	N.R	
199	Cluster_278	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Boletales	undefined	N.R	N.R	N.R	
200	Cluster_329	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Multi-affiliation	N.R	N.R	N.R	
201	Cluster_274	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
202	Cluster_343	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
203	Cluster_291	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
204	Cluster_289	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	N.R	N.R	N.R	
205	Cluster_489	Eukaryota	Fungi	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
206	Cluster_477	Eukaryota	Fungi	Glomeromycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
207	Cluster_659	Eukaryota	Fungi	Ascomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
208	Cluster_285	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
209	Cluster_520	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
210	Cluster_309	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Saprotroph-Symbiotroph	Saprotroph	Gasteroid-Pezizoid	
211	Cluster_513	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
212	Cluster_295	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
213	Cluster_350	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
214	Cluster_310	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
215	Cluster_308	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
216	Cluster_624	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Saprotroph-Symbiotroph	Ectomycorrhizal	Corticioid-Polyporoid	
217	Cluster_631	Eukaryota	Fungi	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	Multi-affiliation	N.R	N.R	N.R	
218	Cluster_356	Eukaryota	Fungi	Chytridiomycota	undefined	Monoblepharidomycetes	Monoblepharidales	undefined	N.R	N.R	N.R	
219	Cluster_334	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	N.R	N.R	N.R	
220	Cluster_318	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
221	Cluster_331	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
222	Cluster_519	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mucorales	Mucoraceae	N.R	N.R	N.R	
223	Cluster_332	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Multi-affiliation	N.R	N.R	N.R	
224	Cluster_394	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	Symbiotroph	Arbuscular Mycorrhizal	Microfungus	
225	Cluster_325	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Cantharellales	Clavulinaceae	N.R	N.R	N.R	
226	Cluster_328	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
227	Cluster_396	Eukaryota	Fungi	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
228	Cluster_675	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	N.R	N.R	N.R	
229	Cluster_449	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	N.R	N.R	N.R	
230	Cluster_348	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Saprotroph	Saprotroph	Microfungus	
231	Cluster_471	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
232	Cluster_363	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
233	Cluster_347	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	N.R	N.R	N.R	
234	Cluster_614	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Tricholomataceae	Pathotroph-Symbiotroph	Ectomycorrhizal	Agaricoid	
235	Cluster_390	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Saprotroph-Symbiotroph	Saprotroph	Microfungus	
236	Cluster_530	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Multi-affiliation	N.R	N.R	N.R	
237	Cluster_386	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	N.R	N.R	N.R	
238	Cluster_400	Eukaryota	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
239	Cluster_391	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	N.R	N.R	N.R	
240	Cluster_383	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	N.R	N.R	N.R	
241	Cluster_354	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Ascobolaceae	Saprotroph	Saprotroph	N.R	
242	Cluster_377	Eukaryota	Fungi	Zygomycota	Entomophthoromycotina	undefined	Entomophthorales	Basidiobolaceae	Pathotroph-Saprotroph-Symbiotroph	Pathotroph-Saprotroph	Microfungus	
243	Cluster_387	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Saprotroph-Symbiotroph	Endophyte-Saprotroph	Microfungus	
244	Cluster_384	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
245	Cluster_362	Eukaryota	Fungi	Zygomycota	Kickxellomycotina	undefined	Kickxellales	Kickxellaceae	N.R	N.R	N.R	
246	Cluster_385	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
247	Cluster_518	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Endogonales	Endogonaceae	N.R	N.R	N.R	
248	Cluster_403	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	N.R	N.R	N.R	
249	Cluster_438	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
250	Cluster_426	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	undefined	N.R	N.R	N.R	
251	Cluster_524	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Sporidiobolales	undefined	N.R	N.R	N.R	
252	Cluster_938	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	N.R	N.R	N.R	
253	Cluster_414	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
254	Cluster_416	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
255	Cluster_413	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Pathotroph-Saprotroph	Pathotroph-Saprotroph	Microfungus	
256	Cluster_415	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Loramycetaceae	N.R	N.R	N.R	
257	Cluster_454	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Saprotroph-Symbiotroph	Endophyte-Saprotroph	Microfungus	
258	Cluster_421	Eukaryota	Fungi	Ascomycota	Taphrinomycotina	Neolectomycetes	Neolectales	Neolectaceae	N.R	N.R	N.R	
259	Cluster_428	Eukaryota	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
260	Cluster_525	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
261	Cluster_429	Eukaryota	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
262	Cluster_433	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	N.R	N.R	N.R	
263	Cluster_439	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Saprotroph-Symbiotroph	Ectomycorrhizal	Gasteroid-Pezizoid	
264	Cluster_733	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Pathotroph-Saprotroph	Pathotroph-Saprotroph	Microfungus	
265	Cluster_432	Eukaryota	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
266	Cluster_778	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
