number	OUT	blast_taxonomy	blast_subject	blast_perc_identity	order	class	famlily	genus	Trophic.mode	Guild	Growth.form	Trait
49	Cluster_56	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
50	Cluster_57	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
51	Cluster_95	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
52	Cluster_58	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Corticiales	Corticiaceae	Pathotroph-Saprotroph	Plant Pathogen	Corticioid-Microfungus	
53	Cluster_59	Eukaryota	Fungi	Ascomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
54	Cluster_66	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
55	Cluster_61	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Pathotroph	Pathotroph-Saprotroph		
56	Cluster_65	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
57	Cluster_64	Eukaryota	Fungi	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	undefined	N.R	N.R	N.R	
58	Cluster_73	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
59	Cluster_69	Eukaryota	Fungi	Basidiomycota	undefined	Tremellomycetes	Tremellales	undefined	N.R	N.R	N.R	
60	Cluster_86	Eukaryota	Fungi	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
61	Cluster_71	Eukaryota	Fungi	Zygomycota	Kickxellomycotina	undefined	Kickxellales	Kickxellaceae	N.R	N.R	N.R	
62	Cluster_84	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
63	Cluster_76	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pezizaceae	Saprotroph-Symbiotroph	Ectomycorrhizal	Pezizoid	
64	Cluster_74	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Tricholomataceae	Pathotroph-Symbiotroph	Ectomycorrhizal	Agaricoid	
65	Cluster_77	Eukaryota	Fungi	Basidiomycota	undefined	Tremellomycetes	Tremellales	Tremellaceae	N.R	N.R	N.R	
