sample.code	TOTAL	rank	sample.name	year.code	age.month	month.code	code	month	year	mesocosm	position	pool.code	corridor	cor.posi	replicate	position.code	plant
s463	20363	409	J-18-1PC05-2_S157_L001	18	13	J	18J	june	2018	1PC05	p1	1PC05p1	1	1p1	2	patch	Trifolium
s464	15245	274	J-18-1PC05-3_S159_L001	18	13	J	18J	june	2018	1PC05	p1	1PC05p1	1	1p1	3	patch	Trifolium
s465	13920	227	J-18-1PC05-4_S146_L001	18	13	J	18J	june	2018	1PC05	p2	1PC05p2	1	1p2	4	patch	Trifolium
s466	24356	486	J-18-1PC05-5_S150_L001	18	13	J	18J	june	2018	1PC05	p2	1PC05p2	1	1p2	5	patch	Trifolium
s467	15555	283	J-18-1PC05-6_S152_L001	18	13	J	18J	june	2018	1PC05	p2	1PC05p2	1	1p2	6	patch	Trifolium
s468	17798	348	J-18-1PC05-7_S154_L001	18	13	J	18J	june	2018	1PC05	mb	1PC05mb	1	1mb	7	mb	Brachypodium
s469	22960	461	J-18-1PC05-8_S156_L001	18	13	J	18J	june	2018	1PC05	mb	1PC05mb	1	1mb	8	mb	Brachypodium
s470	36912	701	J-18-1PC05-9_S173_L001	18	13	J	18J	june	2018	1PC05	cor	1PC05cor	1	1cor	9	cor	Trifolium
s471	19806	398	J-18-1PC05-10_S175_L001	18	13	J	18J	june	2018	1PC05	cor	1PC05cor	1	1cor	10	cor	Trifolium
s472	11664	156	J-18-1PC06-2_S206_L001	18	13	J	18J	june	2018	1PC06	p1	1PC06p1	0	0p1	2	patch	Trifolium
s473	29043	582	J-18-1PC06-3_S208_L001	18	13	J	18J	june	2018	1PC06	p1	1PC06p1	0	0p1	3	patch	Trifolium
s474	11205	140	J-18-1PC06-4_S209_L001	18	13	J	18J	june	2018	1PC06	p2	1PC06p2	0	0p2	4	patch	Trifolium
s475	26930	540	J-18-1PC06-5_S211_L001	18	13	J	18J	june	2018	1PC06	p2	1PC06p2	0	0p2	5	patch	Trifolium
s476	51799	786	J-18-1PC06-6_S213_L001	18	13	J	18J	june	2018	1PC06	p2	1PC06p2	0	0p2	6	patch	Trifolium
s477	9826	96	J-18-1PC06-7_S215_L001	18	13	J	18J	june	2018	1PC06	mb	1PC06mb	0	0mb	7	mb	Brachypodium
s478	25506	509	J-18-1PC06-8_S217_L001	18	13	J	18J	june	2018	1PC06	mb	1PC06mb	0	0mb	8	mb	Brachypodium
